episode_id,gender,sõnaliigid,minutid,raw_count,freq_per_60_min
20210321_episood_2__prgitelevisioon,M,asesõnad,63.217999999999996,2461,2335.7271663133915
20210321_episood_2__prgitelevisioon,M,omadussõnad,63.217999999999996,435,412.8570976620583
20210321_episood_2__prgitelevisioon,M,nimisõnad,63.217999999999996,1699,1612.5154228226138
20210321_episood_2__prgitelevisioon,M,adverbid,63.217999999999996,2065,1959.8848429244838
20210321_episood_2__prgitelevisioon,M,verbid,63.217999999999996,2333,2214.2427789553612
20210321_episood_2__prgitelevisioon,M,partiklid,63.217999999999996,112,106.29883893827707
20210321_episood_2__prgitelevisioon,M,kaassõnad,63.217999999999996,200,189.81935524692335
20190904_bipolaarne_vandenud_1,M,asesõnad,63.29066666666666,1658,1571.7957360748294
20190904_bipolaarne_vandenud_1,M,omadussõnad,63.29066666666666,312,295.77820847729
20190904_bipolaarne_vandenud_1,M,nimisõnad,63.29066666666666,1485,1407.790511502486
20190904_bipolaarne_vandenud_1,M,adverbid,63.29066666666666,1575,1493.1111485632428
20190904_bipolaarne_vandenud_1,M,verbid,63.29066666666666,2145,2033.4751832813688
20190904_bipolaarne_vandenud_1,M,partiklid,63.29066666666666,72,68.25650964860539
20190904_bipolaarne_vandenud_1,M,kaassõnad,63.29066666666666,126,119.44889188505942
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,asesõnad,54.23950000000001,1723,1905.9910213036624
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,omadussõnad,54.23950000000001,264,292.038090321629
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,nimisõnad,54.23950000000001,1083,1198.0198932512283
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,adverbid,54.23950000000001,1884,2084.0900082043527
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,verbid,54.23950000000001,1837,2032.0983784880023
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,partiklid,54.23950000000001,78,86.2839812313904
20210208_jutud_rohelises_stuudios_osa_1_hardo_adamson,M,kaassõnad,54.23950000000001,105,116.15151319610246
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,asesõnad,95.55,1434,900.4709576138148
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,omadussõnad,95.55,412,258.71271585557304
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,nimisõnad,95.55,1773,1113.3437990580849
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,adverbid,95.55,1398,877.8649921507065
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,verbid,95.55,1941,1218.8383045525902
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,partiklid,95.55,87,54.63108320251178
20210502_sott_kihisev__korrrralik_jubileika_100_02052021,M,kaassõnad,95.55,127,79.74882260596546
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,asesõnad,16.003,295,1106.0426170093108
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,omadussõnad,16.003,111,416.1719677560457
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,nimisõnad,16.003,448,1679.6850590514277
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,adverbid,16.003,267,1001.0623008185964
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,verbid,16.003,349,1308.5046553771167
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,partiklid,16.003,4,14.99718802724489
20210614_erisaade_kommunismiohvrite_memoriaali_audiokirjeldus,M,kaassõnad,16.003,64,239.95500843591824
20210422_episood_5_elu_surm_ja_kanade_lestus,M,asesõnad,83.633,1965,1409.7306087310033
20210422_episood_5_elu_surm_ja_kanade_lestus,M,omadussõnad,83.633,387,277.64160080351064
20210422_episood_5_elu_surm_ja_kanade_lestus,M,nimisõnad,83.633,1877,1346.5976349048822
20210422_episood_5_elu_surm_ja_kanade_lestus,M,adverbid,83.633,2342,1680.1980079633638
20210422_episood_5_elu_surm_ja_kanade_lestus,M,verbid,83.633,2687,1927.7079621680439
20210422_episood_5_elu_surm_ja_kanade_lestus,M,partiklid,83.633,123,88.24267932514678
