lemma;raw_count;freq_per_60_min
teisene;5;0.149
mitmekülgne;5;0.149
vinge;5;0.149
spetsiifiline;5;0.149
murelik;5;0.149
terav;5;0.149
rase;5;0.149
mentaalne;5;0.149
pime;5;0.149
tõene;5;0.149
pahane;5;0.149
eludevaheline;5;0.149
odav;5;0.149
uskumatu;5;0.149
võrdne;5;0.149
värviline;5;0.149
enesekindel;5;0.149
liitunud;5;0.149
üllatav;5;0.149
usaldusväärne;5;0.149
ühesugune;5;0.149
kaasaegne;5;0.149
efektiivne;5;0.149
absurdne;5;0.149
kurikuulus;5;0.149
kestnud;5;0.149
piinlik;5;0.149
maitsev;5;0.149
eilne;5;0.149
valdav;5;0.149
ohutu;5;0.149
sotsiaaldemokraatlik;5;0.149
ainukene;5;0.149
inimlik;5;0.149
ebamugav;5;0.149
illegaalne;5;0.149
vastutav;5;0.149
toimiv;5;0.149
üllatunud;5;0.149
põhine;5;0.149
privaatne;5;0.149
tüüpiline;5;0.149
rahaline;5;0.149
päikseline;5;0.149
konservatiivne;5;0.149
omapärane;5;0.149
kauge;5;0.149
senine;5;0.149
kehaline;5;0.149
meeletu;5;0.149
saadud;5;0.149
särav;5;0.149
kihvt;5;0.149
hädavajalik;5;0.149
tehtav;5;0.149
ühendatud;5;0.149
homne;5;0.149
kogunenud;5;0.149
neutraalne;5;0.149
lõpp;4;0.119
kuldne;4;0.119
geneetiline;4;0.119
järsk;4;0.119
domineeriv;4;0.119
mõttetu;4;0.119
ekstra;4;0.119
homoseksuaalne;4;0.119
kohapealne;4;0.119
toaline;4;0.119
nõutud;4;0.119
hirmutav;4;0.119
potentsiaalne;4;0.119
piirkondlik;4;0.119
esitatud;4;0.119
ajaline;4;0.119
aeglane;4;0.119
kuuluv;4;0.119
optimistlik;4;0.119
toitumisalane;4;0.119
lõbus;4;0.119
elektrooniline;4;0.119
iseseisev;4;0.119
usutav;4;0.119
rebitud;4;0.119
koondatud;4;0.119
töötatud;4;0.119
seitsmeaastane;4;0.119
väsitav;4;0.119
kinnine;4;0.119
naturaalne;4;0.119
juhitav;4;0.119
ülioluline;4;0.119
pehme;4;0.119
täiuslik;4;0.119
äriline;4;0.119
arkavar;4;0.119
sedasorti;4;0.119
mainitud;4;0.119
järjepidev;4;0.119
teadja;4;0.119
kuri;4;0.119
eksinud;4;0.119
sportlik;4;0.119
nauditav;4;0.119
krooniline;4;0.119
passiivne;4;0.119
õrn;4;0.119
määratud;4;0.119
üle-eelmine;4;0.119
küsitud;4;0.119
mahukas;4;0.119
põhinev;4;0.119
ülemäärane;4;0.119
ühiskondlik;4;0.119
varjatud;4;0.119
spirituaalne;4;0.119
püha;4;0.119
loov;4;0.119
sünge;4;0.119
kliiniline;4;0.119
pruun;4;0.119
metsik;4;0.119
eluline;4;0.119
õnnetu;4;0.119
vahetu;4;0.119
keskendunud;4;0.119
likviidne;4;0.119
öine;4;0.119
vigastatud;4;0.119
tagasihoidlik;4;0.119
hall;4;0.119
elementaarne;4;0.119
tuline;4;0.119
vastane;4;0.119
treenitud;4;0.119
linnasisene;4;0.119
linnaväline;4;0.119
maailmavaateline;4;0.119
blond;3;0.090
muutuv;3;0.090
tihe;3;0.090
paljas;3;0.090
suhteline;3;0.090
arendav;3;0.090
drastiline;3;0.090
ülemaailmne;3;0.090
sõltuv;3;0.090
detailne;3;0.090
kogetud;3;0.090
aktiveeritud;3;0.090
sootu;3;0.090
peetud;3;0.090
märgatav;3;0.090
teretulnud;3;0.090
põgus;3;0.090
läbiv;3;0.090
perekondlik;3;0.090
verbaalne;3;0.090
väärikas;3;0.090
saadetud;3;0.090
puutumata;3;0.090
spetsiaalne;3;0.090
mahe;3;0.090
kuiv;3;0.090
edasine;3;0.090
piirav;3;0.090
ilmne;3;0.090
ilmselge;3;0.090
veidikene;3;0.090
objektiivne;3;0.090
tasakaalukas;3;0.090
igavene;3;0.090
inetu;3;0.090
eetiline;3;0.090
reljeefne;3;0.090
võetav;3;0.090
teemaline;3;0.090
adekvaatne;3;0.090
alaealine;3;0.090
segane;3;0.090
paindlik;3;0.090
universaalne;3;0.090
pooleliolev;3;0.090
geniaalne;3;0.090
viimne;3;0.090
väikene;3;0.090
šokeeriv;3;0.090
vastastikune;3;0.090
viisakas;3;0.090
lugupeetud;3;0.090
jäik;3;0.090
kohane;3;0.090
erakordne;3;0.090
haruldane;3;0.090
talvine;3;0.090
elatud;3;0.090
visatud;3;0.090
soovitud;3;0.090
petlik;3;0.090
esialgne;3;0.090
venekeelne;3;0.090
va;3;0.090
toonane;3;0.090
tuldud;3;0.090
värvikas;3;0.090
maagiline;3;0.090
närviline;3;0.090
tume;3;0.090
kohusetundlik;3;0.090
räämas;3;0.090
ühetoaline;3;0.090
analoogne;3;0.090
kaunis;3;0.090
ajutine;3;0.090
ebaloomulik;3;0.090
sinine;3;0.090
hubane;3;0.090
piinav;3;0.090
vääriline;3;0.090
tollane;3;0.090
ebaõiglane;3;0.090
korraldatud;3;0.090
kahjulik;3;0.090
töötav;3;0.090
motiveeriv;3;0.090
ajalooline;3;0.090
õiguspärane;3;0.090
põhimõtteline;3;0.090
tähelepanelik;3;0.090
