lemma;raw_count;freq_per_100_lemmas
värske;32;0.164
puhtalt;32;0.164
vestlus;32;0.164
arvestama;32;0.164
osas;32;0.164
olemus;32;0.164
avastama;32;0.164
püüdma;32;0.164
õpilane;32;0.164
kaugele;32;0.164
leping;32;0.164
tuba;32;0.164
ilusti;32;0.164
nurk;32;0.164
kiirabi;32;0.164
omanik;32;0.164
asuma;31;0.159
loom;31;0.159
kerge;31;0.159
periood;31;0.159
vajalik;31;0.159
parandama;31;0.159
tohutu;31;0.159
mõttetu;31;0.159
kinnisvara;31;0.159
perspektiiv;31;0.159
issand;31;0.159
leppima;31;0.159
lisama;31;0.159
kollane;31;0.159
inglise;31;0.159
minek;30;0.153
aastane;30;0.153
raskem;30;0.153
kana;30;0.153
valge;30;0.153
negatiivne;30;0.153
teenus;30;0.153
miinus;30;0.153
harjuma;30;0.153
vaidlema;30;0.153
hing;30;0.153
kivi;30;0.153
pikem;30;0.153
korralikult;30;0.153
toetus;30;0.153
keskmine;30;0.153
reegel;30;0.153
tegutsema;30;0.153
stiil;30;0.153
tegelt;30;0.153
lennuk;30;0.153
kole;30;0.153
erivajadus;30;0.153
taas;29;0.148
veidi;29;0.148
puudu;29;0.148
mulje;29;0.148
lootus;29;0.148
ükskord;29;0.148
tänak;29;0.148
kalev;29;0.148
märkama;29;0.148
žanr;29;0.148
biit;29;0.148
plaadifirma;29;0.148
sisuline;29;0.148
konkreetselt;29;0.148
kõrge;29;0.148
vaktsiin;29;0.148
valgus;29;0.148
võitlema;29;0.148
eksisteerima;29;0.148
laine;29;0.148
päike;29;0.148
hullult;28;0.143
häirima;28;0.143
palk;28;0.143
kurb;28;0.143
aktiivne;28;0.143
loodus;28;0.143
kahju;28;0.143
koer;28;0.143
sõda;28;0.143
eri;28;0.143
nimetama;28;0.143
olümpia;28;0.143
võistkond;28;0.143
isiklikult;28;0.143
saal;28;0.143
tõenäosus;28;0.143
viirus;28;0.143
käituma;28;0.143
rahu;28;0.143
hindama;28;0.143
tark;28;0.143
kirjeldama;28;0.143
väitma;28;0.143
vabalt;28;0.143
tekst;28;0.143
vaataja;28;0.143
kevad;28;0.143
kannatama;28;0.143
mõistus;28;0.143
roheline;27;0.138
kuulamine;27;0.138
tagantjärgi;27;0.138
endiselt;27;0.138
puutuma;27;0.138
põhi;27;0.138
rütm;27;0.138
arve;27;0.138
teekond;27;0.138
jõud;27;0.138
lai;27;0.138
isiklik;27;0.138
