ngram;count;freq_per_100_n-gramms
kui inimene;15;0.0109
nagu üldse;15;0.0109
okei no;15;0.0109
siis eesti;15;0.0109
selle koha;15;0.0109
ole kindel;15;0.0109
oma olemuselt;15;0.0109
väga tore;15;0.0109
üks küsimus;15;0.0109
me näeme;15;0.0109
see muusika;15;0.0109
mingil hetkel;15;0.0109
ei soovi;15;0.0109
ei julge;15;0.0109
issand jumal;15;0.0109
siin ongi;15;0.0109
mingi aeg;15;0.0109
selline tunne;15;0.0109
nagu vaata;15;0.0109
esimene asi;15;0.0109
on ilmselt;14;0.0102
ei osanud;14;0.0102
me jõuame;14;0.0102
mis juhtus;14;0.0102
ja eesti;14;0.0102
kaks null;14;0.0102
kuu aega;14;0.0102
on ütleme;14;0.0102
mitu aastat;14;0.0102
kas eesti;14;0.0102
on muutunud;14;0.0102
ma võtsin;14;0.0102
ka hästi;14;0.0102
ole tegelikult;14;0.0102
omal ajal;14;0.0102
et hea;14;0.0102
sa üldse;14;0.0102
sa tunned;14;0.0102
on raske;14;0.0102
oleks hea;14;0.0102
on väike;14;0.0102
kolm aastat;14;0.0102
ei tunne;14;0.0102
väga äge;13;0.0095
sa rääkisid;13;0.0095
suur osa;13;0.0095
see annab;13;0.0095
ühe korra;13;0.0095
hea näide;13;0.0095
siis no;13;0.0095
üks suur;13;0.0095
ei käi;13;0.0095
ma lugesin;13;0.0095
see uus;13;0.0095
on täis;13;0.0095
just täpselt;13;0.0095
veel kord;13;0.0095
siis lõpuks;13;0.0095
ka eesti;13;0.0095
järgmine aasta;13;0.0095
kui kaua;13;0.0095
küsimus number;13;0.0095
sa annad;13;0.0095
ma aru;13;0.0095
siis ütleme;13;0.0095
sellel hetkel;13;0.0095
viis aastat;13;0.0095
te teate;13;0.0095
päris huvitav;13;0.0095
edasi anda;13;0.0095
sa oskad;13;0.0095
nagu aru;13;0.0095
ei tööta;13;0.0095
ei näinud;13;0.0095
paljud inimesed;13;0.0095
ole võimalik;13;0.0095
selle teema;13;0.0095
jah ütleme;13;0.0095
100 protsenti;13;0.0095
seda saadet;13;0.0095
niisugune tunne;13;0.0095
ole mõtet;13;0.0095
on armastus;13;0.0095
10 aastat;12;0.0087
me panime;12;0.0087
et kaks;12;0.0087
nagu veits;12;0.0087
seda filmi;12;0.0087
väga meeldib;12;0.0087
et esimene;12;0.0087
mis tegelikult;12;0.0087
kaks päeva;12;0.0087
ei kuula;12;0.0087
üks päev;12;0.0087
kui inimesed;12;0.0087
et kindlasti;12;0.0087
oma elu;12;0.0087
kes tahavad;12;0.0087
on terve;12;0.0087
on küsimus;12;0.0087
ma pakun;12;0.0087
see näitab;12;0.0087
on kolm;12;0.0087
aga okei;12;0.0087
aasta lõpus;12;0.0087
on parem;12;0.0087
ja absoluutselt;12;0.0087
on oluline;12;0.0087
või tähendab;12;0.0087
noh ongi;12;0.0087
nagu ongi;12;0.0087
on uus;12;0.0087
nii kaugele;12;0.0087
on jumala;12;0.0087
sa kirjutad;12;0.0087
päeva lõpuks;12;0.0087
need kaks;12;0.0087
ja vaadata;12;0.0087
selle nii-öelda;12;0.0087
see töötab;12;0.0087
20 aastat;12;0.0087
hästi suur;12;0.0087
väga põnev;12;0.0087
siis näiteks;12;0.0087
et elu;12;0.0087
saanud aru;12;0.0087
ja inimesed;12;0.0087
et paljud;12;0.0087
sina arvad;12;0.0087
oli hästi;12;0.0087
see õige;12;0.0087
teist korda;12;0.0087
nagu täiega;12;0.0087
nagu esimene;12;0.0087
paar aastat;12;0.0087
ka vaata;12;0.0087
see mees;12;0.0087
kokku puutunud;12;0.0087
uus aasta;12;0.0087
päikseline päev;12;0.0087
tund aega;11;0.0080
siin saates;11;0.0080
kui suur;11;0.0080
võib-olla natuke;11;0.0080
