lemma;raw_count;freq_per_100_lemmas
eelnev;16;0.122
endine;16;0.122
mõjuma;16;0.122
vastuvõtt;16;0.122
muretsema;16;0.122
sisu;16;0.122
aed;16;0.122
auto;16;0.122
vestlema;16;0.122
sügav;16;0.122
esindaja;16;0.122
varu;16;0.122
koguma;16;0.122
toiduaine;16;0.122
imelik;16;0.122
investeerima;16;0.122
turvaline;16;0.122
test;16;0.122
noorem;16;0.122
korrus;16;0.122
nali;16;0.122
elari;16;0.122
ilusam;16;0.122
lühiajaline;16;0.122
nädalavahetus;16;0.122
raskus;16;0.122
rida;16;0.122
nurk;16;0.122
elus;16;0.122
taim;16;0.122
kiik;16;0.122
osakond;16;0.122
kõnelema;16;0.122
sektor;16;0.122
mahtuma;16;0.122
solman;16;0.122
rasv;16;0.122
kaal;16;0.122
naljakas;16;0.122
raames;16;0.122
miljon;16;0.122
töötukassa;16;0.122
puhtalt;16;0.122
omama;16;0.122
õu;16;0.122
vastav;16;0.122
vabalt;16;0.122
meeldiv;16;0.122
rõhutama;16;0.122
suruma;16;0.122
katki;16;0.122
kraad;16;0.122
jäär;16;0.122
turuhind;16;0.122
tööriist;16;0.122
treenima;16;0.122
enam-vähem;16;0.122
aime;16;0.122
erakorraline;16;0.122
seedima;16;0.122
teekond;15;0.115
võitlema;15;0.115
juhtkond;15;0.115
rõõmus;15;0.115
tuhat;15;0.115
füüsiliselt;15;0.115
õieti;15;0.115
las;15;0.115
situatsioon;15;0.115
paber;15;0.115
vabadus;15;0.115
mõistus;15;0.115
eelistama;15;0.115
otsene;15;0.115
laine;15;0.115
järjekordne;15;0.115
korteriturg;15;0.115
hinnakasv;15;0.115
kergesti;15;0.115
elamu;15;0.115
pind;15;0.115
risk;15;0.115
miinus;15;0.115
kild;15;0.115
pandeemia;15;0.115
kultuur;15;0.115
kurss;15;0.115
juhus;15;0.115
siduma;15;0.115
sõnastama;15;0.115
kohutavalt;15;0.115
individuaalne;15;0.115
süüdi;15;0.115
17;15;0.115
kilomeeter;15;0.115
loomne;15;0.115
homme;15;0.115
aju;15;0.115
valmistama;15;0.115
16;15;0.115
täiskasvanu;15;0.115
loodud;15;0.115
rumal;15;0.115
esinema;15;0.115
kommenteerima;15;0.115
vabandust;15;0.115
saavutus;15;0.115
uudisteaken;15;0.115
ilmuma;15;0.115
energeetiline;15;0.115
super;15;0.115
rahulik;15;0.115
ajakirjandus;15;0.115
hoolima;15;0.115
valgevene;15;0.115
kellaaeg;15;0.115
vähk;15;0.115
sünd;15;0.115
julge;15;0.115
müügihind;15;0.115
emotsionaalne;15;0.115
cv;15;0.115
rahulolu;15;0.115
tegelikkus;15;0.115
kontor;15;0.115
kapp;15;0.115
äpp;15;0.115
murdma;15;0.115
seos;15;0.115
jupiter;15;0.115
karjäärileht;15;0.115
lavastus;15;0.115
järvamaa;15;0.115
minek;14;0.107
toitumisnõustaja;14;0.107
lootus;14;0.107
vahva;14;0.107
võime;14;0.107
vältima;14;0.107
uni;14;0.107
fakt;14;0.107
hirmsasti;14;0.107
õpetus;14;0.107
väljendama;14;0.107
öösel;14;0.107
komme;14;0.107
algatus;14;0.107
2000;14;0.107
julgelt;14;0.107
sisuline;14;0.107
vaatamine;14;0.107
mõõtma;14;0.107
arengutreener;14;0.107
komisjon;14;0.107
lasteaed;14;0.107
sõbranna;14;0.107
lähenema;14;0.107
ressurss;14;0.107
harjutama;14;0.107
strateegia;14;0.107
viimati;14;0.107
ensüüm;14;0.107
kogus;14;0.107
valk;14;0.107
ost;14;0.107
tugevam;14;0.107
14;14;0.107
loogiline;14;0.107
tipp;14;0.107
