ngram;count;freq_per_60_min
see küsimus;54;1.2507
et vaatama;54;1.2507
tema lihtsalt;54;1.2507
iga päev;53;1.2275
olema kindlasti;53;1.2275
kõige parem;53;1.2275
sina teadma;53;1.2275
mina tegelikult;53;1.2275
võima ütlema;53;1.2275
ei tohtima;52;1.2044
olema kuulma;52;1.2044
see film;51;1.1812
aga tegelikult;51;1.1812
esimene kord;50;1.1580
sina rääkima;49;1.1349
sama aeg;49;1.1349
mina tundma;49;1.1349
olema täna;48;1.1117
no ütlema;48;1.1117
et lihtsalt;48;1.1117
et äkki;48;1.1117
ei meeldima;47;1.0886
aga lihtsalt;47;1.0886
et kuulma;47;1.0886
olema huvitav;46;1.0654
üks lugu;46;1.0654
see vaatama;46;1.0654
mina kuulama;45;1.0422
ei uskuma;45;1.0422
mina küsima;45;1.0422
tahtma ütlema;44;1.0191
et eesti;44;1.0191
olema nõus;44;1.0191
olema õige;44;1.0191
puue inimene;44;1.0191
et ütlema;43;0.9959
mina lootma;43;0.9959
et okei;43;0.9959
olema jälle;43;0.9959
nii ütlema;42;0.9727
see koht;42;0.9727
ei viitsima;41;0.9496
see osa;41;0.9496
sina võtma;41;0.9496
nii suur;40;0.9264
et no;40;0.9264
see vana;40;0.9264
see muusika;40;0.9264
mina jääma;39;0.9033
olema okei;39;0.9033
tema rääkima;39;0.9033
et võtma;39;0.9033
olema suur;39;0.9033
noh ütlema;39;0.9033
päris hea;39;0.9033
see tähendama;39;0.9033
vana kool;39;0.9033
ju tegelikult;38;0.8801
eesti keel;38;0.8801
kõik asi;38;0.8801
olema tehtud;38;0.8801
uus aasta;38;0.8801
üks hetk;38;0.8801
siis tegelikult;38;0.8801
eesti laul;38;0.8801
see kaks;37;0.8569
see maailm;37;0.8569
siis nii-öelda;37;0.8569
aga ütlema;37;0.8569
sina panema;37;0.8569
sama asi;37;0.8569
nagu hästi;37;0.8569
mingi mõte;37;0.8569
olema inimene;37;0.8569
ja panema;36;0.8338
ei võtma;36;0.8338
kui inimene;36;0.8338
see eesti;36;0.8338
sina lihtsalt;36;0.8338
mina saade;35;0.8106
nagu inimene;35;0.8106
olema halb;35;0.8106
kaks aasta;35;0.8106
see esimene;35;0.8106
mis tähendama;35;0.8106
mina kuulma;35;0.8106
ja lihtsalt;34;0.7875
kõige suurem;34;0.7875
väga huvitav;34;0.7875
ei andma;33;0.7643
see tunduma;33;0.7643
viimane aeg;33;0.7643
see mäng;33;0.7643
iga kord;33;0.7643
olema mõtlema;33;0.7643
kes tahtma;32;0.7411
olema nii-öelda;32;0.7411
teine inimene;32;0.7411
ja rääkima;32;0.7411
see käima;32;0.7411
ka tegelikult;31;0.7180
väga meeldima;31;0.7180
see andma;31;0.7180
mina jõudma;31;0.7180
ja võtma;31;0.7180
siis vaatama;31;0.7180
olema näide;31;0.7180
ei kujutama;31;0.7180
siis ütlema;31;0.7180
saama teadma;30;0.6948
ei käima;30;0.6948
ei vaatama;30;0.6948
see jutt;30;0.6948
olema parem;30;0.6948
nagu lihtsalt;30;0.6948
see kõlama;30;0.6948
eesti puue;30;0.6948
see rääkima;30;0.6948
olema käima;30;0.6948
ei panema;29;0.6717
olema esimene;29;0.6717
hea meel;29;0.6717
mina kujutama;29;0.6717
või no;29;0.6717
too hetk;29;0.6717
saama ütlema;29;0.6717
üks päev;29;0.6717
palju asi;29;0.6717
see olukord;29;0.6717
olema erinev;29;0.6717
inimene koda;29;0.6717
väga kõva;29;0.6717
nagu vaatama;29;0.6717
see probleem;28;0.6485
mina elu;28;0.6485
see uus;28;0.6485
mina andma;28;0.6485
olema täis;28;0.6485
ausalt ütlema;28;0.6485
olema jõudma;28;0.6485
olema aeg;28;0.6485
nagu tegelikult;28;0.6485
palju inimene;28;0.6485
lugu nimi;28;0.6485
mina lugema;27;0.6253
see tegelikult;27;0.6253
olema terve;27;0.6253
olema kindel;27;0.6253
nagu hea;27;0.6253
uus asi;27;0.6253
see raamat;27;0.6253
ja täpselt;27;0.6253
just nimelt;27;0.6253
inglise keel;27;0.6253
mina täna;27;0.6253
oma elu;26;0.6022
mina proovima;26;0.6022
et andma;26;0.6022
sina tegelikult;26;0.6022
olema tunne;26;0.6022
oskama ütlema;26;0.6022
olema täitsa;26;0.6022
olema jumal;26;0.6022
muu asi;26;0.6022
see nimi;26;0.6022
see võimalus;26;0.6022
ei rääkima;26;0.6022
mina tekkima;26;0.6022
see vend;26;0.6022
välja tooma;26;0.6022
too aeg;25;0.5790
olema põhimõtteliselt;25;0.5790
nii kaua;25;0.5790
kes ütlema;25;0.5790
iga aasta;25;0.5790
hakkama mõtlema;25;0.5790
väga lihtne;25;0.5790
tema tegelikult;25;0.5790
sina andma;25;0.5790
mingi aeg;25;0.5790
olema valmis;25;0.5790
miski ütlema;25;0.5790
mina esimene;25;0.5790
koht number;25;0.5790
ei julgema;24;0.5559
ei mõtlema;24;0.5559
mis toimuma;24;0.5559
ja inimene;24;0.5559
pidama ütlema;24;0.5559
see teadma;24;0.5559
järgmine aasta;24;0.5559
olema väike;24;0.5559
olema kõva;24;0.5559
olema rääkima;24;0.5559
see nägema;24;0.5559
olema uus;24;0.5559
olema raske;24;0.5559
et täna;24;0.5559
olema elu;24;0.5559
see toode;24;0.5559
mina alustama;23;0.5327
olema jääma;23;0.5327
täpselt samamoodi;23;0.5327
mina elama;23;0.5327
ja käima;23;0.5327
hea lugu;23;0.5327
nagu asi;23;0.5327
see projekt;23;0.5327
ei pruukima;23;0.5327
nagu nii-öelda;23;0.5327
sina suutma;23;0.5327
sina elu;23;0.5327
see panema;23;0.5327
et kurat;23;0.5327
kaks tund;23;0.5327
olema mõte;23;0.5327
siis võtma;22;0.5095
olema viimane;22;0.5095
olema muutuma;22;0.5095
ja lõpuks;22;0.5095
olema samamoodi;22;0.5095
kui tahtma;22;0.5095
vene keel;22;0.5095
see võtma;22;0.5095
noh tegelikult;22;0.5095
aasta lõpp;22;0.5095
tema suutma;22;0.5095
olema võtma;22;0.5095
nagu no;22;0.5095
see hea;22;0.5095
siis tekkima;22;0.5095
ei jääma;22;0.5095
tema käima;22;0.5095
see mees;22;0.5095
esimene asi;22;0.5095
see kurat;22;0.5095
üks inimene;21;0.4864
ei tundma;21;0.4864
see õige;21;0.4864
et esimene;21;0.4864
see suur;21;0.4864
ja hästi;21;0.4864
see töö;21;0.4864
mina ostma;21;0.4864
see raha;21;0.4864
see pilt;21;0.4864
olema asi;21;0.4864
