ngram;count;freq_per_100_n-gramms
kogumik osa kahelt;2;0.0038
käis meil saates;2;0.0038
vana kooli rubriigis;2;0.0038
kenka ja paul;2;0.0038
paneme saate lukku;2;0.0038
lugu tommyboil papa;2;0.0038
tommyboil papa anna;2;0.0038
andeks abrada vala;2;0.0038
vala mulle kanget;2;0.0038
täna ei lange;2;0.0038
lange siis tean;2;0.0038
tean me joome;2;0.0038
eesti passiga mees;2;0.0038
ongi minu arust;2;0.0038
sander vene viskas;2;0.0038
koht number 19;2;0.0038
ühesõnaga koht number;2;0.0038
viis sammu ukseni;2;0.0038
koht number 18;2;0.0038
asi on teada;2;0.0038
koostöö ei sobi;2;0.0038
meistrite liiga finaalis;2;0.0038
rääkisid kogu aeg;2;0.0038
koht number 11;2;0.0038
ütles et kuule;2;0.0038
tõi need vennad;2;0.0038
kaks pool kuud;2;0.0038
helen nelis naukas;2;0.0038
kolme või nelja;2;0.0038
mägi ja onu;2;0.0038
osa on 87;2;0.0038
hea küsimus tegelikult;2;0.0038
üldse ma arvan;2;0.0038
arvan et esimene;2;0.0038
vaib oli sõbralik;2;0.0038
raha kõrvale pandud;2;0.0038
küsimus ma arvan;2;0.0038
no ikka korralik;2;0.0038
tõmbame lototroni käima;2;0.0038
aja jooksul tekkinud;2;0.0038
korralik andmine käis;2;0.0038
lihtsalt see esimene;2;0.0038
eesti popi alustada;2;0.0038
punktist a punkti;2;0.0038
tütar üksi kodus;2;0.0038
kummuli kaheksa üheksanda;2;0.0038
kaheksa üheksanda maailma;2;0.0038
üheksanda maailma imelikud;2;0.0038
suitsetaja vahel suitsetavad;2;0.0038
hõljuda kaugele kiviaega;2;0.0038
kuulasin seda lugu;2;0.0038
tina iga kord;2;0.0038
suitsema iga kord;2;0.0038
puhta iga kord;2;0.0038
onu joska vana;2;0.0038
mart saa laam;2;0.0038
kaks pool kolm;2;0.0038
täna on kaheksas;2;0.0038
saatejuht kristjan hirmo;2;0.0038
kar computer science;2;0.0038
aru et eesti;2;0.0038
näiteks väga hea;2;0.0038
planeeritava tallinna haigla;2;0.0038
mägi onu jopska;2;0.0038
1400 kilomeetrit sekundis;2;0.0038
lapsed täiskasvanud täna;2;0.0038
no nii vana;2;0.0038
hästi koledad asjad;2;0.0038
mäleta esimest korda;2;0.0038
augustikuu eesti puuetega;2;0.0038
tööl ei käi;2;0.0038
rääkida aga põhimõtteliselt;2;0.0038
klikk ära käis;2;0.0038
kuulajad ja vaatajad;2;0.0038
tahangi nagu öelda;2;0.0038
kohaliku omavalitsuse tasandi;2;0.0038
omavalitsuse tasandi sotsiaalkaitse;2;0.0038
puuete inimeste koja;2;0.0038
töövõime või puude;2;0.0038
hoog on endiselt;2;0.0038
emotsionaalselt väga kurnav;2;0.0038
üldse ei huvita;2;0.0038
asi on vaata;2;0.0038
imejust toing my;2;0.0038
tahtsin veel öelda;2;0.0038
arvad sellisest asjast;2;0.0038
arvan et enamus;2;0.0038
kruvisin läpaka lahti;2;0.0038
hästi palju aega;2;0.0038
õppida ei viitsinud;2;0.0038
hästi palju panustasin;2;0.0038
arvan et võtame;2;0.0038
nädal ostsin õuna;2;0.0038
tunnelis mul raha;2;0.0038
tea kui kaua;2;0.0038
30 või 40;2;0.0038
mäletan ma käisin;2;0.0038
septembri viimane nädal;2;0.0038
tea ma tean;2;0.0038
auru välja lasta;2;0.0038
kaks tundi järjest;2;0.0038
poiss või tüdruk;2;0.0038
inimesed kardavad surma;2;0.0038
käed ümber kaela;2;0.0038
negatiivne või positiivne;2;0.0038
raha on lihtsalt;2;0.0038
vihm on lihtsalt;2;0.0038
maailma kõige parem;2;0.0038
meeldib see mõte;2;0.0038
vihm on neutraalne;2;0.0038
sõda on halb;2;0.0038
peaga vastu seina;2;0.0038
okei ma panen;2;0.0038
hea või halb;2;0.0038
viis aastaku plaan;2;0.0038
pane silmad kinni;2;0.0038
mõtled selle asja;2;0.0038
mõelda ei soovi;2;0.0038
tunne on indikaator;2;0.0038
loll nagu lauajalg;2;0.0038
raha tuleb lihtsalt;2;0.0038
raha saab arvele;2;0.0038
poe juurde jõudsin;2;0.0038
tahtsin seda küsida;2;0.0038
võta see migreen;2;0.0038
lahkub sinu kehast;2;0.0038
avalikult see saade;2;0.0038
kojas eesti puuetega;2;0.0038
võtab natukene aega;2;0.0038
päriselt ka töötab;2;0.0038
lihtsalt ei näe;2;0.0038
aasta uued lubadused;2;0.0038
äkki välja tuua;2;0.0038
tunneme ennast hästi;2;0.0038
tasu ära unustada;2;0.0038
number üks asi;2;0.0038
kolme kuni viie;2;0.0038
tulebki see hind;2;0.0038
bakterite kooslus muutub;2;0.0038
äkki see aasta;2;0.0038
no lihtsalt arst;2;0.0038
uus ja huvitav;2;0.0038
asi välja näeb;2;0.0038
teab mis asi;2;0.0038
500 kuni 1000;2;0.0038
muusika pane muusikat;2;0.0038
vaieldamatult kõige parem;2;0.0038
rääkida ma räägin;2;0.0038
laseme otsad vette;2;0.0038
tore on kuulda;2;0.0038
kord on jäänud;2;0.0038
jopska tasku rööking;2;0.0038
piinlik kus kaasa;2;0.0038
kirot ja põhja-korea;2;0.0038
vinüül ja kassett;2;0.0038
eesti ja vene;2;0.0038
ilus hindamatu vabaduses;2;0.0038
hindamatu vabaduses elada;2;0.0038
