ngram;count;freq_per_60_min;KP_markerid
parim sõber;2;0.0597;
inimene abi;2;0.0597;
siis instagram;2;0.0597;
siis tühjendusmüük;2;0.0597;
grete rääkima;2;0.0597;
meeldima pühapäev;2;0.0597;
see nädalavahetus;2;0.0597;
keskus uudisteaken;2;0.0597;
noortekas toimuma;2;0.0597;
rääkima õige;2;0.0597;
nagu arvama;2;0.0597;
nagu sarnane;2;0.0597;
suurem hulk;2;0.0597;
noor info;2;0.0597;
või noorsootöö;2;0.0597;
töö noor;2;0.0597;
selline mõiste;2;0.0597;
noorsootöö tegelema;2;0.0597;
siis analüüsima;2;0.0597;
üsna lai;2;0.0597;
sisse uks;2;0.0597;
see haridus;2;0.0597;
juba kandideerima;2;0.0597;
ka noorsootöötaja;2;0.0597;
nii ilusti;2;0.0597;
suht lai;2;0.0597;
eriala nimi;2;0.0597;
põhiliselt noor;2;0.0597;
erinev riik;2;0.0597;
erinev eesti;2;0.0597;
rääkima onju;2;0.0597;
ja noorsootöö;2;0.0597;
noor puudutav;2;0.0597;
noorsoo nädal;2;0.0597;
kindlasti ütlema;2;0.0597;
noor vajadus;2;0.0597;
ju tänav;2;0.0597;
tulema otse;2;0.0597;
tegelikult varem;2;0.0597;
kuidagi paremini;2;0.0597;
mina sundima;2;0.0597;
selline noor;2;0.0597;
nagu issand;2;0.0597;
olema järjest;2;0.0597;
kuidas jõudma;2;0.0597;
ikkagi pakkuma;2;0.0597;
tahtma anne;2;0.0597;
väga noor;2;0.0597;
noh andma;2;0.0597;
et tekitama;2;0.0597;
mina hiljem;2;0.0597;
hullult meeldima;2;0.0597;
valdkond tegelikult;2;0.0597;
saama elu;2;0.0597;
nagu internetipank;2;0.0597;
uus maailm;2;0.0597;
täiesti mõttetu;2;0.0597;
nagu raha;2;0.0597;
potkast kuulaja;2;0.0597;
kuulama tahtma;2;0.0597;
siin istuma;2;0.0597;
ja liis;2;0.0597;
nagu julgema;2;0.0597;
kes panema;2;0.0597;
mõni hea;2;0.0597;
saama edukas;2;0.0597;
mingi põnev;2;0.0597;
aga nädal;2;0.0597;
kõige aktuaalsem;2;0.0597;
kandma mask;2;0.0597;
olema näitama;2;0.0597;
panus andma;2;0.0597;
see kandma;2;0.0597;
siis suhtuma;2;0.0597;
olema eeskujulik;2;0.0597;
ikkagi kaasa;2;0.0597;
see pood;2;0.0597;
18 küsimus;2;0.0597;
jah andma;2;0.0597;
js tartu;2;0.0597;
60 inimene;2;0.0597;
selline projekt;2;0.0597;
haridus sõber;2;0.0597;
selline materjal;2;0.0597;
nagu õpik;2;0.0597;
ligi pääsema;2;0.0597;
juba mainima;2;0.0597;
varem teadma;2;0.0597;
mis põhi;2;0.0597;
see põhjal;2;0.0597;
mõni õpetaja;2;0.0597;
töö tegelikult;2;0.0597;
küsimus vastamine;2;0.0597;
inimene esimene;2;0.0597;
niisugune noor;2;0.0597;
mingi hästi;2;0.0597;
eesti ekspert;2;0.0597;
kaasa haarama;2;0.0597;
juba valmis;2;0.0597;
isegi tavaline;2;0.0597;
see uuesti;2;0.0597;
umbes 10;2;0.0597;
sise tartu;2;0.0597;
erinev projekt;2;0.0597;
milline erinev;2;0.0597;
väga detailselt;2;0.0597;
mingi teadmine;2;0.0597;
enesejuhtimine teema;2;0.0597;
erinev suhtleja;2;0.0597;
sina seisma;2;0.0597;
võimalus tegelikult;2;0.0597;
eriti haridus;2;0.0597;
valmis raames;2;0.0597;
julge ütlema;2;0.0597;
palju eksima;2;0.0597;
mingisugune eesmärk;2;0.0597;
ka tahtma;2;0.0597;
saama täielikult;2;0.0597;
väga konkreetne;2;0.0597;
laps käima;2;0.0597;
kohalik kinnisvara;2;0.0597;
tallinn osakond;2;0.0597;
ju kuulutus;2;0.0597;
saama takistus;2;0.0597;
oskama samamoodi;2;0.0597;
tegema neli;2;0.0597;
võib-olla tegelikult;2;0.0597;
klient maakler;2;0.0597;
olulisem algus;2;0.0597;
klient erinev;2;0.0597;
siinkohal ütlema;2;0.0597;
tema suhtlema;2;0.0597;
mina hindaja;2;0.0597;
aeg ütlema;2;0.0597;
siis müügiklient;2;0.0597;
või ostuklient;2;0.0597;
tulema aasta;2;0.0597;
mingisugune viga;2;0.0597;
ka jooksvalt;2;0.0597;
algus valu;2;0.0597;
hea teema;2;0.0597;
nagu aasta;2;0.0597;
müüma auto;2;0.0597;
küll esimene;2;0.0597;
suurem eeldus;2;0.0597;
ja pühenduma;2;0.0597;
nagu kõrge;2;0.0597;
üks arendaja;2;0.0597;
protsent juht;2;0.0597;
mingisugune aeg;2;0.0597;
klient põhine;2;0.0597;
põhine maakler;2;0.0597;
aga klient;2;0.0597;
olema sada;2;0.0597;
tema aasta;2;0.0597;
ütlema maakler;2;0.0597;
üks klient;2;0.0597;
nii-öelda leping;2;0.0597;
pärast maksma;2;0.0597;
et notar;2;0.0597;
ja kõikvõimalik;2;0.0597;
tema ootus;2;0.0597;
ka õnn;2;0.0597;
korter müüma;2;0.0597;
võtma ülehindama;2;0.0597;
ka müüja;2;0.0597;
aga ostja;2;0.0597;
tema müüma;2;0.0597;
üle hindama;2;0.0597;
tegema sööma;2;0.0597;
korralik turuanalüüs;2;0.0597;
nii-öelda müüma;2;0.0597;
nii-öelda objekt;2;0.0597;
lihtsalt jalutama;2;0.0597;
käsi tasku;2;0.0597;
see sotsiaalmeedia;2;0.0597;
ise turundusspetsialist;2;0.0597;
lihtsalt pilt;2;0.0597;
nagu turundusspetsialist;2;0.0597;
vara müük;2;0.0597;
palju ostja;2;0.0597;
ostja nii-öelda;2;0.0597;
kas pank;2;0.0597;
vana vara;2;0.0597;
et vana;2;0.0597;
see notar;2;0.0597;
protsent tehing;2;0.0597;
ainuke asi;2;0.0597;
mis ostja;2;0.0597;
olema müüja;2;0.0597;
noh kujutama;2;0.0597;
olema köök;2;0.0597;
seal köök;2;0.0597;
kus ostja;2;0.0597;
pärast ütlema;2;0.0597;
läbi suur;2;0.0597;
ei müük;2;0.0597;
see tohutult;2;0.0597;
värvima sein;2;0.0597;
tegelikult ostja;2;0.0597;
nii-öelda kodu;2;0.0597;
selline tulemus;2;0.0597;
see boadcasti;2;0.0597;
saama suurepärane;2;0.0597;
see postitus;2;0.0597;
saavutama edu;2;0.0597;
mina teenus;2;0.0597;
et eriti;2;0.0597;
ikka natukene;2;0.0597;
olema laad;2;0.0597;
see ost;2;0.0597;
summa raha;2;0.0597;
just vastupidine;2;0.0597;
pood cast;2;0.0597;
armas puudutamind;2;0.0597;
või puu;2;0.0597;
teine hunt;2;0.0597;
mina territoorium;2;0.0597;
kui kari;2;0.0597;
kari liige;2;0.0597;
mõni hunt;2;0.0597;
partner otsima;2;0.0597;
tema partner;2;0.0597;
et loom;2;0.0597;
sina hunt;2;0.0597;
kus hunt;2;0.0597;
võima pöörama;2;0.0597;
ikka andma;2;0.0597;
pidama hunt;2;0.0597;
see sotsialiseerima;2;0.0597;
loomaaed hunt;2;0.0597;
see inimhirm;2;0.0597;
olema loomaaed;2;0.0597;
kartma inimene;2;0.0597;
sotsialiseerimata hunt;2;0.0597;
väga-väga stress;2;0.0597;
olema sotsialiseerimata;2;0.0597;
surnud aedik;2;0.0597;
tallinn loomaaed;2;0.0597;
ka hunt;2;0.0597;
olema surnud;2;0.0597;
loom loomaaed;2;0.0597;
laskma lihtsalt;2;0.0597;
elu loomulik;2;0.0597;
loomulik kulg;2;0.0597;
välja surema;2;0.0597;
ja vastutus;2;0.0597;
kus loom;2;0.0597;
loom kasutama;2;0.0597;
enam vaja;2;0.0597;
tema muutuma;2;0.0597;
kus näiteks;2;0.0597;
olema liik;2;0.0597;
saama panema;2;0.0597;
erinev liik;2;0.0597;
enne saade;2;0.0597;
uurima koer;2;0.0597;
hakkama tekkima;2;0.0597;
see koer;2;0.0597;
koer treenima;2;0.0597;
saama koer;2;0.0597;
eriti hea;2;0.0597;
palju motivatsioon;2;0.0597;
koer ülikool;2;0.0597;
tegema koer;2;0.0597;
kuldne retriiver;2;0.0597;
olema konkreetselt;2;0.0597;
seal hunt;2;0.0597;
ei ründama;2;0.0597;
hiiumaa juhtum;2;0.0597;
ja selguma;2;0.0597;
üks hunt;2;0.0597;
olema kahjuks;2;0.0597;
ikka koer;2;0.0597;
olema hundikari;2;0.0597;
olema jälitama;2;0.0597;
aga päriselt;2;0.0597;
olema vahva;2;0.0597;
üksinda mets;2;0.0597;
inimene no;2;0.0597;
aga hunt;2;0.0597;
kõige inimkartlikum;2;0.0597;
selline hunt;2;0.0597;
territoorium eesti;2;0.0597;
küll haruldane;2;0.0597;
et kari;2;0.0597;
siis enamasti;2;0.0597;
minema laiali;2;0.0597;
hunt koer;2;0.0597;
siis ema;2;0.0597;
siis kasvama;2;0.0597;
olema vastupidi;2;0.0597;
küsimus kindlasti;2;0.0597;
saakloom hunt;2;0.0597;
suurem saakloom;2;0.0597;
siis hunt;2;0.0597;
olema karjaloom;2;0.0597;
miks ütlema;2;0.0597;
see üksik;2;0.0597;
hunt kari;2;0.0597;
alfa isane;2;0.0597;
aasta järglane;2;0.0597;
väga-väga vähe;2;0.0597;
partner uus;2;0.0597;
uus territoorium;2;0.0597;
olema kiskja;2;0.0597;
või huvi;2;0.0597;
tahtma hunt;2;0.0597;
hunt uurima;2;0.0597;
täiesti lamp;2;0.0597;
kindlasti absoluutselt;2;0.0597;
palju aspekt;2;0.0597;
ja kari;2;0.0597;
uus partner;2;0.0597;
üks partner;2;0.0597;
hea lapsevanem;2;0.0597;
pisike titt;2;0.0597;
hea isa;2;0.0597;
oma poeg;2;0.0597;
veel vanem;2;0.0597;
aga isa;2;0.0597;
ema sööma;2;0.0597;
üldse paik;2;0.0597;
poeg söömine;2;0.0597;
aga tihti;2;0.0597;
ikka tooma;2;0.0597;
iga võimalus;2;0.0597;
kutsikas mängima;2;0.0597;
sina riina;2;0.0597;
andma sõna;2;0.0597;
süvenema piisavalt;2;0.0597;
andma korralik;2;0.0597;
korralik löök;2;0.0597;
löök riik;2;0.0597;
et sõna;2;0.0597;
andma konkreetne;2;0.0597;
see komisjon;2;0.0597;
olema solvama;2;0.0597;
pärnits püüdma;2;0.0597;
täpselt provokatsioon;2;0.0597;
mees panema;2;0.0597;
oma sõnum;2;0.0597;
sõna paar;2;0.0597;
eelmine küsimus;2;0.0597;
mart helme;2;0.0597;
hinnang näitama;2;0.0597;
kiisler ütlema;2;0.0597;
et traditsiooniline;2;0.0597;
traditsiooniline pere;2;0.0597;
ohtlikum koht;2;0.0597;
aga kujutama;2;0.0597;
ette olukord;2;0.0597;
naine soovima;2;0.0597;
meelest mikk;2;0.0597;
päris õige;2;0.0597;
olema kriminaalpoliitika;2;0.0597;
avalik karistusregister;2;0.0597;
enam elu;2;0.0597;
see kõnelema;2;0.0597;
kodu vägivald;2;0.0597;
ohtlikum paik;2;0.0597;
saama peksma;2;0.0597;
olema vägivald;2;0.0597;
see traditsiooniline;2;0.0597;
sõna traditsiooniline;2;0.0597;
püüdma tõstatama;2;0.0597;
ka laps;2;0.0597;
laps seksuaalne;2;0.0597;
72 protsent;2;0.0597;
vanus 16;2;0.0597;
olema raivo;2;0.0597;
rohkem perekond;2;0.0597;
kasvama laps;2;0.0597;
see malle;2;0.0597;
malle kobin;2;0.0597;
naistevastane vägivald;2;0.0597;
pool naine;2;0.0597;
aina väiksem;2;0.0597;
füüsiline karistamine;2;0.0597;
neli laps;2;0.0597;
laps ema;2;0.0597;
laps täna;2;0.0597;
ära defineerima;2;0.0597;
vaheline liit;2;0.0597;
nagu vili;2;0.0597;
mees laskma;2;0.0597;
kus maa;2;0.0597;
või laps;2;0.0597;
korraldamine lahendama;2;0.0597;
paluma sõnastama;2;0.0597;
suutma sõnastama;2;0.0597;
abielu mees;2;0.0597;
naine liit;2;0.0597;
näitama uuring;2;0.0597;
kui üksus;2;0.0597;
hästi tõmbama;2;0.0597;
siis probleem;2;0.0597;
võtma seadus;2;0.0597;
kooseluseadus rakendusakt;2;0.0597;
paluma vastama;2;0.0597;
asi järjekord;2;0.0597;
tahtma käsitlema;2;0.0597;
sekkuma perekond;2;0.0597;
perekond elu;2;0.0597;
see ideaal;2;0.0597;
mari lauri;2;0.0597;
gert kingo;2;0.0597;
tema pöörama;2;0.0597;
tema keha;2;0.0597;
kool õpetaja;2;0.0597;
jõudma rääkima;2;0.0597;
üldse aktiivne;2;0.0597;
olema abiturient;2;0.0597;
oma viimane;2;0.0597;
tegutsema no;2;0.0597;
huvitav lugu;2;0.0597;
põnev tunduma;2;0.0597;
mingi hobi;2;0.0597;
aeg nii-öelda;2;0.0597;
nagu sünd;2;0.0597;
nii-öelda ühiskond;2;0.0597;
ühiskond nii-öelda;2;0.0597;
kaheksas klass;2;0.0597;
nii-öelda tegutsema;2;0.0597;
ütlema okei;2;0.0597;
see aktiivne;2;0.0597;
sina inspiratsioon;2;0.0597;
see nõuanne;2;0.0597;
see nipp;2;0.0597;
aeg panustama;2;0.0597;
sarnane vaade;2;0.0597;
üks protsent;2;0.0597;
protsent parem;2;0.0597;
palju rakendama;2;0.0597;
tegelikult lihtsalt;2;0.0597;
nüüd järsku;2;0.0597;
et google;2;0.0597;
seitse-kaheksa tund;2;0.0597;
mis aine;2;0.0597;
tema toimima;2;0.0597;
sisemine motivatsioon;2;0.0597;
hea viis;2;0.0597;
jaoks leidma;2;0.0597;
jaoks toimima;2;0.0597;
lihtsalt tegelikult;2;0.0597;
nüüd näiteks;2;0.0597;
see puhkus;2;0.0597;
erinev mõte;2;0.0597;
miski nii-öelda;2;0.0597;
halb inimene;2;0.0597;
alla hüppama;2;0.0597;
sealt katus;2;0.0597;
eile tegelikult;2;0.0597;
minema juus;2;0.0597;
juus värvima;2;0.0597;
ja proovima;2;0.0597;
siis vaataja;2;0.0597;
nii-öelda suutma;2;0.0597;
siis noortekas;2;0.0597;
tegelikult kool;2;0.0597;
kindlasti sobima;2;0.0597;
kõik vaja;2;0.0597;
vaja ütlema;2;0.0597;
tänane vebinar;2;0.0597;
toimuma kinnisvaraturg;2;0.0597;
turg toimuma;2;0.0597;
mis kinnisvaraturg;2;0.0597;
võib-olla kaks;2;0.0597;
võib-olla alustama;2;0.0597;
ju küsima;2;0.0597;
pakkumine vähenema;2;0.0597;
ostuhuviline käima;2;0.0597;
ei ronima;2;0.0597;
nagu kiiresti;2;0.0597;
see väiksem;2;0.0597;
kolm tuba;2;0.0597;
nagu lihtsam;2;0.0597;
kes viljandi;2;0.0597;
et investor;2;0.0597;
olema koonduma;2;0.0597;
olema objekt;2;0.0597;
investor vaatama;2;0.0597;
mina otseselt;2;0.0597;
et nõudlus;2;0.0597;
just vaatama;2;0.0597;
aga täpselt;2;0.0597;
ütlema raha;2;0.0597;
mingisugune väiksem;2;0.0597;
objekt maksma;2;0.0597;
pank vastus;2;0.0597;
aktiivne turg;2;0.0597;
kes ootama;2;0.0597;
või hoidma;2;0.0597;
kas müüma;2;0.0597;
kindlasti müüma;2;0.0597;
minema kallim;2;0.0597;
kuna nõudlus;2;0.0597;
see ülepakkumine;2;0.0597;
tema käsi;2;0.0597;
ja peamine;2;0.0597;
üks rida;2;0.0597;
ära ostma;2;0.0597;
natukene kõrgem;2;0.0597;
oma vahend;2;0.0597;
mõni minut;2;0.0597;
kõige odavam;2;0.0597;
ka algus;2;0.0597;
see arendus;2;0.0597;
veel viis;2;0.0597;
ka küsima;2;0.0597;
aeg müük;2;0.0597;
ostja süda;2;0.0597;
see turutunnetus;2;0.0597;
sina tuletama;2;0.0597;
maja müük;2;0.0597;
asi müüma;2;0.0597;
minema veidi;2;0.0597;
kuus päev;2;0.0597;
tegelikult klient;2;0.0597;
minema praktiliselt;2;0.0597;
siis müük;2;0.0597;
ka turuülevaade;2;0.0597;
alati väike;2;0.0597;
väike viide;2;0.0597;
tõusma viimane;2;0.0597;
see võit;2;0.0597;
okei ühesõnaga;2;0.0597;
vara väärtus;2;0.0597;
ise vaatevinkel;2;0.0597;
seisukord korter;2;0.0597;
võimalik küsima;2;0.0597;
enne koroona;2;0.0597;
olema kallim;2;0.0597;
kindlasti kasvama;2;0.0597;
olema kasv;2;0.0597;
niisugune kiire;2;0.0597;
kord üldse;2;0.0597;
ja tehing;2;0.0597;
facebook grupp;2;0.0597;
nagu tunnetus;2;0.0597;
mina puutuma;2;0.0597;
noorem klient;2;0.0597;
see pisiasi;2;0.0597;
või tee;2;0.0597;
sinna pärapõrgu;2;0.0597;
sinna maja;2;0.0597;
ideaalne kodu;2;0.0597;
mingi kompromiss;2;0.0597;
kuuluma müük;2;0.0597;
ostja küsima;2;0.0597;
kui uhke;2;0.0597;
ostja tegelikult;2;0.0597;
ju mainima;2;0.0597;
uus ostma;2;0.0597;
tegema paralleelselt;2;0.0597;
et inge;2;0.0597;
kõik hind;2;0.0597;
selline ootus;2;0.0597;
täna küsima;2;0.0597;
paik rääkima;2;0.0597;
sama kriteerium;2;0.0597;
olema vahetama;2;0.0597;
no lisa;2;0.0597;
mis omanik;2;0.0597;
päev tingimus;2;0.0597;
sinna korter;2;0.0597;
nagu maja;2;0.0597;
silm nägema;2;0.0597;
et müük;2;0.0597;
teadma esimene;2;0.0597;
soovima ettevõte;2;0.0597;
ettevõte nägema;2;0.0597;
et adven;2;0.0597;
adven karjäärileht;2;0.0597;
bränd tegevus;2;0.0597;
võib-olla kolm;2;0.0597;
see lähenemine;2;0.0597;
ettevõte kasv;2;0.0597;
selline süsteemne;2;0.0597;
see süsteemne;2;0.0597;
tahtma kõnetama;2;0.0597;
ise uskuma;2;0.0597;
näide uus;2;0.0597;
ja ivi;2;0.0597;
olema kaduma;2;0.0597;
suur roll;2;0.0597;
teine praktiline;2;0.0597;
praktiline vajadus;2;0.0597;
tegelema no;2;0.0597;
minema kiiresti;2;0.0597;
tahtma tööandja;2;0.0597;
hea kooskõla;2;0.0597;
või moment;2;0.0597;
see kooskõla;2;0.0597;
et töötaja;2;0.0597;
soovitu indeks;2;0.0597;
mina kuvama;2;0.0597;
kasvama järjest;2;0.0597;
ja areng;2;0.0597;
võlu võluvits;2;0.0597;
nagu tootmistöötaja;2;0.0597;
insener tiim;2;0.0597;
välja jätma;2;0.0597;
erinev uuring;2;0.0597;
et töövahend;2;0.0597;
tegelikult lugema;2;0.0597;
ju üldse;2;0.0597;
väga eeskujulik;2;0.0597;
see karjäärileht;2;0.0597;
karjäärileht arendamine;2;0.0597;
ka ettevõte;2;0.0597;
rahvusvaheline korporatsioon;2;0.0597;
mina regioon;2;0.0597;
vastane kord;2;0.0597;
võima osa;2;0.0597;
oma töötaja;2;0.0597;
selline kandidaat;2;0.0597;
väga suuresti;2;0.0597;
töötaja leidmine;2;0.0597;
ja uurima;2;0.0597;
praegu üldse;2;0.0597;
peamine põhimõte;2;0.0597;
ettevõte rääkima;2;0.0597;
oma suu;2;0.0597;
olema kaasama;2;0.0597;
see paindlikkus;2;0.0597;
oma väärtuspakkumine;2;0.0597;
siis ettevõte;2;0.0597;
kogu turg;2;0.0597;
et praktiliselt;2;0.0597;
üks üritus;2;0.0597;
teine kuju;2;0.0597;
olema stabiilne;2;0.0597;
mina säilitama;2;0.0597;
ja tavaline;2;0.0597;
oluline positsioon;2;0.0597;
ka fontes;2;0.0597;
olema uuesti;2;0.0597;
tagasiside andma;2;0.0597;
see test;2;0.0597;
tegema andma;2;0.0597;
tõesti aitama;2;0.0597;
kui küsima;2;0.0597;
keskus aktiivne;2;0.0597;
töömalev aktiiv;2;0.0597;
sina arust;2;0.0597;
hästi aktuaalne;2;0.0597;
aasta tahtma;2;0.0597;
õpetaja päev;2;0.0597;
olema söögitegemine;2;0.0597;
läbi vabatahtlik;2;0.0597;
nüüd päevajuht;2;0.0597;
noortekas pakkuma;2;0.0597;
et aktiiv;2;0.0597;
üks malev;2;0.0597;
kuskil nurk;2;0.0597;
tundma tegelikult;2;0.0597;
raha tahtma;2;0.0597;
saama suvi;2;0.0597;
milline malev;2;0.0597;
seal üldse;2;0.0597;
kuni 15;2;0.0597;
ja linnaväline;2;0.0597;
mingi kogemus;2;0.0597;
väga armas;2;0.0597;
suvi malev;2;0.0597;
see rühm;2;0.0597;
kõik rühm;2;0.0597;
aasta üldse;2;0.0597;
see karantiin;2;0.0597;
aasta vaatama;2;0.0597;
võtma kaasa;2;0.0597;
mina kaasa;2;0.0597;
väga hirmutav;2;0.0597;
mõte keeruline;2;0.0597;
mis meenutama;2;0.0597;
olema ots;2;0.0597;
aga seniks;2;0.0597;
võima asi;2;0.0597;
olema august;2;0.0597;
tõesti nädal;2;0.0597;
ütlema riik;2;0.0597;
vaid vaatama;2;0.0597;
eakas õpetaja;2;0.0597;
et riskirühm;2;0.0597;
suhteliselt tavapärane;2;0.0597;
olukord kujunema;2;0.0597;
olema nohu;2;0.0597;
tooma kool;2;0.0597;
mina õpetaja;2;0.0597;
see klass;2;0.0597;
lihtsalt võimalik;2;0.0597;
väga veenev;2;0.0597;
kas ekre;2;0.0597;
mõnus keskerakond;2;0.0597;
see maailmavaateline;2;0.0597;
ekre poliitik;2;0.0597;
olema häbi;2;0.0597;
privaatne ruum;2;0.0597;
keskerakond poliitik;2;0.0597;
sina väitma;2;0.0597;
mina kinnitama;2;0.0597;
kinnisvarabüroo turundusjuht;2;0.0597;
turundusjuht merlin;2;0.0597;
isegi inimene;2;0.0597;
kas müük;2;0.0597;
hea külg;2;0.0597;
sees elama;2;0.0597;
et näitama;2;0.0597;
nagu väärtus;2;0.0597;
korter nägema;2;0.0597;
nägema võimalikult;2;0.0597;
osa kodu;2;0.0597;
see puhtus;2;0.0597;
nagu teadlik;2;0.0597;
nagu pilt;2;0.0597;
ilus asi;2;0.0597;
väga lühinägelik;2;0.0597;
professionaalne ausus;2;0.0597;
parem pilt;2;0.0597;
järgmine pilt;2;0.0597;
pärast pilt;2;0.0597;
igasugune isiklik;2;0.0597;
isiklik asi;2;0.0597;
kes looma;2;0.0597;
ka pilt;2;0.0597;
suurem müügihind;2;0.0597;
vannituba pilt;2;0.0597;
mõjuma hästi;2;0.0597;
selline suhteliselt;2;0.0597;
nagu korraks;2;0.0597;
korraks rääkima;2;0.0597;
mõte maakler;2;0.0597;
ja väike;2;0.0597;
sama trend;2;0.0597;
kinnisvarabüroo pakkuma;2;0.0597;
lõhnaline küünal;2;0.0597;
ja kvaliteetsem;2;0.0597;
garaaž kola;2;0.0597;
nägema loomulikult;2;0.0597;
miski käsi;2;0.0597;
sügav must;2;0.0597;
must auk;2;0.0597;
auk langema;2;0.0597;
päev toimima;2;0.0597;
selline vesi;2;0.0597;
üsna ebaloomulik;2;0.0597;
vajadus täitma;2;0.0597;
mina närvisüsteem;2;0.0597;
läänelik eluviis;2;0.0597;
terve tugev;2;0.0597;
kuni 60;2;0.0597;
60 kord;2;0.0597;
juba 100;2;0.0597;
lai hambakaar;2;0.0597;
läänelik toit;2;0.0597;
sina elama;2;0.0597;
rohkem okei;2;0.0597;
see mineraalaine;2;0.0597;
lihtsalt libisema;2;0.0597;
libisema maha;2;0.0597;
see elujõud;2;0.0597;
mingi mineraal;2;0.0597;
ja ensüüm;2;0.0597;
aga nimi;2;0.0597;
miski tootma;2;0.0597;
see tootmine;2;0.0597;
ja aktiveerimine;2;0.0597;
õige mineraalaine;2;0.0597;
minema kasutus;2;0.0597;
seal toit;2;0.0597;
võib-olla viis;2;0.0597;
vaja kasutama;2;0.0597;
trauma olukord;2;0.0597;
kõht täis;2;0.0597;
palju vaatama;2;0.0597;
käima rännak;2;0.0597;
alla laduma;2;0.0597;
see rahustav;2;0.0597;
toores porgand;2;0.0597;
olema karoteen;2;0.0597;
et kala;2;0.0597;
enam-vähem puhas;2;0.0597;
puhas toiduaine;2;0.0597;
kunagi õppima;2;0.0597;
steriilne pinnas;2;0.0597;
see 15;2;0.0597;
mina seedimine;2;0.0597;
valk loomne;2;0.0597;
tema organism;2;0.0597;
milline loom;2;0.0597;
šoti mägiveis;2;0.0597;
päev inimene;2;0.0597;
kaks talumuna;2;0.0597;
pisike kala;2;0.0597;
kala mõjutama;2;0.0597;
nagu juus;2;0.0597;
kõige puhtam;2;0.0597;
atlandi ookean;2;0.0597;
mis suurem;2;0.0597;
see rasvatriip;2;0.0597;
mis peenem;2;0.0597;
peenem triip;2;0.0597;
suurem kala;2;0.0597;
kui toetama;2;0.0597;
ports köögivili;2;0.0597;
mina muutuma;2;0.0597;
jõudma eriti;2;0.0597;
tegema köögivili;2;0.0597;
ja vesi;2;0.0597;
pidama tänane;2;0.0597;
tegema bataat;2;0.0597;
ju lihtne;2;0.0597;
ka kohandumine;2;0.0597;
olema kohandumine;2;0.0597;
praegune olu;2;0.0597;
kui jõudma;2;0.0597;
ikkagi väga-väga;2;0.0597;
olema muutumine;2;0.0597;
siis üle-eelmine;2;0.0597;
olema tervisekriis;2;0.0597;
majandus jõudma;2;0.0597;
olema kaja;2;0.0597;
see ambitsioon;2;0.0597;
olema lühiajaline;2;0.0597;
vaktsineerimine tempo;2;0.0597;
see skandaal;2;0.0597;
mina mulje;2;0.0597;
sina abikaasa;2;0.0597;
rain rosimannus;2;0.0597;
huvi tundma;2;0.0597;
sama kiri;2;0.0597;
kus kohus;2;0.0597;
meilipostkast avamine;2;0.0597;
kõik õigesti;2;0.0597;
siim roo;2;0.0597;
jääma kohus;2;0.0597;
jääma õige;2;0.0597;
tegelikult jääma;2;0.0597;
pärast kohtuotsus;2;0.0597;
jääma süüdi;2;0.0597;
võlgu maksma;2;0.0597;
pisut parem;2;0.0597;
kõik laenama;2;0.0597;
tagasi maksma;2;0.0597;
tegema riigieelarve;2;0.0597;
aasta eelarve;2;0.0597;
majandus toetama;2;0.0597;
kui majanduskasv;2;0.0597;
nüüd lähinädal;2;0.0597;
missugune maks;2;0.0597;
ainuke valik;2;0.0597;
ja distsipliin;2;0.0597;
olema teooria;2;0.0597;
leidma võimalus;2;0.0597;
riik osalus;2;0.0597;
ja 10;2;0.0597;
ainuke kolm;2;0.0597;
mingi kiht;2;0.0597;
ajastu inimene;2;0.0597;
et astroloogia;2;0.0597;
vaimne teekond;2;0.0597;
olema veevala;2;0.0597;
kui teeniv;2;0.0597;
erinev number;2;0.0597;
mina vaimne;2;0.0597;
tegema erinev;2;0.0597;
see labürint;2;0.0597;
labürint põhi;2;0.0597;
üks elu;2;0.0597;
mitte uskuma;2;0.0597;
elu tooma;2;0.0597;
onju no;2;0.0597;
sügav kriis;2;0.0597;
tulema tahtma;2;0.0597;
isiklik vastutus;2;0.0597;
aeg tundma;2;0.0597;
mina tugevus;2;0.0597;
tugev keha;2;0.0597;
ülimalt keeruline;2;0.0597;
vaimne mõte;2;0.0597;
et kriis;2;0.0597;
vägisi keerama;2;0.0597;
teine õnnelik;2;0.0597;
hästi avar;2;0.0597;
elama tõde;2;0.0597;
mingi võõras;2;0.0597;
võtma võõras;2;0.0597;
sirge selg;2;0.0597;
võõras tõde;2;0.0597;
ja saturn;2;0.0597;
aasta 20;2;0.0597;
see praktilisus;2;0.0597;
minema lihtsam;2;0.0597;
lihtsam loomulikum;2;0.0597;
energia vaatama;2;0.0597;
olema ühendus;2;0.0597;
olema kaksik;2;0.0597;
see kaksik;2;0.0597;
kõik arst;2;0.0597;
see ajama;2;0.0597;
mingi uskumus;2;0.0597;
vajama juhtimine;2;0.0597;
aitäh anu;2;0.0597;
järvamaa kinnisvaraturg;2;0.0597;
vara viljandi;2;0.0597;
kutseline hindaja;2;0.0597;
nii korteriturg;2;0.0597;
siis elamuturg;2;0.0597;
olema järvamaa;2;0.0597;
et järvamaa;2;0.0597;
ja paide;2;0.0597;
türi paide;2;0.0597;
kuidas viljandi;2;0.0597;
viljandi korteriturg;2;0.0597;
kõige nõutum;2;0.0597;
korter viljandi;2;0.0597;
ju pakkumine;2;0.0597;
aasta laine;2;0.0597;
