ngram;count;freq_per_60_min;KP_markerid
olema selge;21;0.6267;
väga huvitav;21;0.6267;
sina täna;21;0.6267;
et hästi;21;0.6267;
olema aktiivne;21;0.6267;
siis kindlasti;21;0.6267;
see mure;21;0.6267;
see tunne;21;0.6267;
veel kord;21;0.6267;
olema õigus;21;0.6267;
suur osa;21;0.6267;
see info;21;0.6267;
olema mõte;21;0.6267;
see hea;21;0.6267;
et maakler;21;0.6267;
et esimene;20;0.5969;
olema kool;20;0.5969;
oskama ütlema;20;0.5969;
tartu noorsootöö;20;0.5969;
viis aasta;20;0.5969;
mitu kord;20;0.5969;
kolm aasta;20;0.5969;
mina jääma;20;0.5969;
et näide;20;0.5969;
üle eesti;20;0.5969;
olema tehtud;20;0.5969;
vabatahtlik töö;20;0.5969;
väga tihti;20;0.5969;
mina tegelema;20;0.5969;
sina mainima;20;0.5969;
see klient;20;0.5969;
too hetk;20;0.5969;
see tegelema;20;0.5969;
kokku leppima;20;0.5969;
see võtma;20;0.5969;
olema aeg;20;0.5969;
anne noortekeskus;20;0.5969;
nagu nii-öelda;20;0.5969;
ja üldse;20;0.5969;
see mees;20;0.5969;
see päev;20;0.5969;
olema täis;20;0.5969;
see teadmine;20;0.5969;
olema okei;19;0.5671;
ka hästi;19;0.5671;
olema tore;19;0.5671;
see eesmärk;19;0.5671;
mingi aeg;19;0.5671;
aga vaatama;19;0.5671;
ei leidma;19;0.5671;
see naine;19;0.5671;
olema õnnelik;19;0.5671;
saama inimene;19;0.5671;
olema väike;19;0.5671;
siis tekkima;19;0.5671;
ja samamoodi;19;0.5671;
mina õppima;19;0.5671;
üks päev;19;0.5671;
ei tähendama;19;0.5671;
kuu aeg;19;0.5671;
kes ütlema;19;0.5671;
ja hea;19;0.5671;
tema võtma;19;0.5671;
oma kodu;19;0.5671;
erinev inimene;19;0.5671;
kersti kaljulaid;19;0.5671;
olema asi;19;0.5671;
üks küsimus;19;0.5671;
uus aasta;19;0.5671;
ka nii-öelda;19;0.5671;
aktiivne noor;19;0.5671;
mina pakkuma;18;0.5372;1
ja asi;18;0.5372;
nii tore;18;0.5372;
olema võtma;18;0.5372;
et ühesõnaga;18;0.5372;
see kogemus;18;0.5372;
mina inimene;18;0.5372;
olema muutuma;18;0.5372;
tema teadma;18;0.5372;
olema harjuma;18;0.5372;
et laps;18;0.5372;
olema teadma;18;0.5372;
et nägema;18;0.5372;
olema laps;18;0.5372;
et panema;18;0.5372;
mina jälle;18;0.5372;
inimene tahtma;18;0.5372;
või tegelikult;18;0.5372;
olema uus;18;0.5372;
mina kujutama;18;0.5372;
mõni sõna;18;0.5372;
tahtma teadma;18;0.5372;
siis vaatama;18;0.5372;
kaks nädal;18;0.5372;
selline juht;18;0.5372;
sina jõudma;18;0.5372;
olema probleem;18;0.5372;
selline ütlema;18;0.5372;
ei sööma;18;0.5372;
olema kodu;18;0.5372;
iga aasta;18;0.5372;
