ngram;count;freq_per_1000_n-gramms
see idee;20;0.1463
siis mõtlema;20;0.1463
olema onju;20;0.1463
ei tähendama;20;0.1463
see video;20;0.1463
kõik inimene;19;0.1390
see tekitama;19;0.1390
suur osa;19;0.1390
olema kodu;19;0.1390
et tahtma;19;0.1390
õige aeg;19;0.1390
iga asi;19;0.1390
oma aeg;19;0.1390
tulema meel;19;0.1390
saama rääkima;19;0.1390
iga inimene;19;0.1390
mis juhtuma;19;0.1390
see sõna;19;0.1390
olema küsimus;19;0.1390
ja kindlasti;19;0.1390
väga tore;19;0.1390
üks küsimus;19;0.1390
läbi aeg;19;0.1390
hea tunne;19;0.1390
olema aasta;19;0.1390
sina üldse;19;0.1390
tema panema;19;0.1390
välja nägema;19;0.1390
nagu nägema;19;0.1390
siis andma;19;0.1390
ei soovima;19;0.1390
selline inimene;19;0.1390
päris suur;19;0.1390
selline tunne;19;0.1390
oma asi;19;0.1390
see aru;19;0.1390
nagu esimene;19;0.1390
ja värk;19;0.1390
väga ilus;19;0.1390
täna rääkima;18;0.1317
ei juhtuma;18;0.1317
väga äge;18;0.1317
see kindlasti;18;0.1317
mina mängima;18;0.1317
et rääkima;18;0.1317
üks kord;18;0.1317
mis tegelikult;18;0.1317
sina küsima;18;0.1317
eesti räpp;18;0.1317
jah no;18;0.1317
õige asi;18;0.1317
et panema;18;0.1317
mina pakkuma;18;0.1317
nagu suur;18;0.1317
oma mõte;18;0.1317
tulema lihtsalt;18;0.1317
tema võtma;18;0.1317
kas eesti;18;0.1317
olema natukene;18;0.1317
nagu eesti;18;0.1317
olema oluline;18;0.1317
mina aru;18;0.1317
et hea;18;0.1317
siis lihtsalt;18;0.1317
tükk aeg;18;0.1317
ja andma;18;0.1317
see töötama;18;0.1317
väga põnev;18;0.1317
eelmine saade;18;0.1317
ja põhimõtteliselt;18;0.1317
ja tahtma;17;0.1244
viis aasta;17;0.1244
see jääma;17;0.1244
maha võtma;17;0.1244
ja eesti;17;0.1244
see üldse;17;0.1244
ei võitma;17;0.1244
see kolm;17;0.1244
siis inimene;17;0.1244
ei kuulama;17;0.1244
see tase;17;0.1244
see hooaeg;17;0.1244
saama lihtsalt;17;0.1244
olema näiteks;17;0.1244
olema ilus;17;0.1244
pikk aeg;17;0.1244
ei kuulma;17;0.1244
aga vaatama;17;0.1244
ka eesti;17;0.1244
võima rääkima;17;0.1244
ka natuke;17;0.1244
mitu aasta;17;0.1244
siin eesti;17;0.1244
olema lihtne;17;0.1244
jah ütlema;17;0.1244
ja kuulama;17;0.1244
sina kirjutama;17;0.1244
niisugune lugu;17;0.1244
nagu natuke;17;0.1244
see tunne;17;0.1244
järgmine lugu;17;0.1244
sina jääma;17;0.1244
olema suhteliselt;17;0.1244
sina oskama;17;0.1244
sina tundma;17;0.1244
see viimane;17;0.1244
väga oluline;17;0.1244
nagu täis;17;0.1244
tahtma küsima;17;0.1244
nagu okei;17;0.1244
ka vaatama;17;0.1244
ära panema;17;0.1244
see bakter;17;0.1244
et näide;16;0.1171
nagu päriselt;16;0.1171
olema ammu;16;0.1171
olema siiamaani;16;0.1171
siis rääkima;16;0.1171
tahtma teadma;16;0.1171
veel kord;16;0.1171
üks külg;16;0.1171
sina hea;16;0.1171
ei pääsema;16;0.1171
siis eesti;16;0.1171
tema nägema;16;0.1171
oma olemus;16;0.1171
olema eriti;16;0.1171
üks kaks;16;0.1171
nagu võtma;16;0.1171
et kuulama;16;0.1171
ka ütlema;16;0.1171
tahtma nägema;16;0.1171
ja loomulikult;16;0.1171
ei leidma;16;0.1171
aga rääkima;16;0.1171
edasi andma;16;0.1171
noh vaatama;16;0.1171
sina kuulma;16;0.1171
kokku panema;16;0.1171
mitu kord;16;0.1171
kaks nädal;16;0.1171
ei eksima;16;0.1171
tema üritama;16;0.1171
kokku puutuma;16;0.1171
see puhastus;16;0.1171
tund aeg;15;0.1098
olema puhas;15;0.1098
see elu;15;0.1098
et kaks;15;0.1098
mina nii-öelda;15;0.1098
mina kaks;15;0.1098
kui suur;15;0.1098
olema vähe;15;0.1098
tallinn tehnikaülikool;15;0.1098
hea näide;15;0.1098
kaks päev;15;0.1098
