ngram;count;freq_per_1000_n-gramms
siis täna;20;0.1806
siis kindlasti;20;0.1806
anne noortekeskus;20;0.1806
nagu nii-öelda;20;0.1806
ja üldse;20;0.1806
see mees;20;0.1806
olema aktiivne;20;0.1806
see päev;20;0.1806
olema täis;20;0.1806
see teadmine;20;0.1806
olema okei;19;0.1716
ka hästi;19;0.1716
olema tore;19;0.1716
see eesmärk;19;0.1716
mingi aeg;19;0.1716
aga vaatama;19;0.1716
see naine;19;0.1716
olema õnnelik;19;0.1716
saama inimene;19;0.1716
siis tekkima;19;0.1716
ja samamoodi;19;0.1716
mina õppima;19;0.1716
üks päev;19;0.1716
ei tähendama;19;0.1716
kuu aeg;19;0.1716
kui vaatama;19;0.1716
kes ütlema;19;0.1716
ja hea;19;0.1716
tema võtma;19;0.1716
oma kodu;19;0.1716
erinev inimene;19;0.1716
kersti kaljulaid;19;0.1716
olema asi;19;0.1716
olema tehtud;19;0.1716
üks küsimus;19;0.1716
uus aasta;19;0.1716
ka nii-öelda;19;0.1716
aktiivne noor;19;0.1716
mina pakkuma;18;0.1625
ja asi;18;0.1625
olema võtma;18;0.1625
et ühesõnaga;18;0.1625
see kogemus;18;0.1625
mina inimene;18;0.1625
tema teadma;18;0.1625
et laps;18;0.1625
olema teadma;18;0.1625
et nägema;18;0.1625
olema laps;18;0.1625
et panema;18;0.1625
mina jälle;18;0.1625
tahtma teadma;18;0.1625
siis vaatama;18;0.1625
kaks nädal;18;0.1625
selline juht;18;0.1625
sina jõudma;18;0.1625
olema probleem;18;0.1625
selline ütlema;18;0.1625
ei sööma;18;0.1625
olema kodu;18;0.1625
iga aasta;18;0.1625
mina töötama;18;0.1625
sama asi;18;0.1625
nagu tegelikult;18;0.1625
mis noor;18;0.1625
sina elu;18;0.1625
selline inimene;18;0.1625
neli kuu;18;0.1625
see tunduma;18;0.1625
see korter;18;0.1625
mikk pärnits;18;0.1625
kõige lihtsam;17;0.1535
nii tore;17;0.1535
nagu vaatama;17;0.1535
ei juhtuma;17;0.1535
selline hästi;17;0.1535
ka inimene;17;0.1535
olema harjuma;17;0.1535
see laps;17;0.1535
pool aasta;17;0.1535
nüüd ütlema;17;0.1535
aga inimene;17;0.1535
inimene tahtma;17;0.1535
nii hästi;17;0.1535
väga meeldima;17;0.1535
väga ilus;17;0.1535
rääkima täna;17;0.1535
olema väike;17;0.1535
kokku panema;17;0.1535
mõni sõna;17;0.1535
mina kujutama;17;0.1535
mina kasutama;17;0.1535
üle eesti;17;0.1535
et teadma;17;0.1535
nagu noor;17;0.1535
saama tegelikult;17;0.1535
ei käima;17;0.1535
olema uus;17;0.1535
olema tooma;17;0.1535
ja naine;17;0.1535
mina kirjutama;17;0.1535
ei andma;17;0.1535
see objekt;17;0.1535
või tegelikult;17;0.1535
see äri;17;0.1535
mina hästi;17;0.1535
miski viga;17;0.1535
see jutt;16;0.1445
nii äge;16;0.1445
kõik noor;16;0.1445
nagu mõtlema;16;0.1445
ka erinev;16;0.1445
edasi liikuma;16;0.1445
palju asi;16;0.1445
võtma ühendus;16;0.1445
nii põnev;16;0.1445
olema muutuma;16;0.1445
olema piisavalt;16;0.1445
olema tavaliselt;16;0.1445
ei leidma;16;0.1445
olema kord;16;0.1445
selline väike;16;0.1445
see erinev;16;0.1445
hästi hea;16;0.1445
ka näide;16;0.1445
selline olukord;16;0.1445
see nägema;16;0.1445
see probleem;16;0.1445
mitu erinev;16;0.1445
selline nii-öelda;16;0.1445
tere hea;16;0.1445
olema leidma;16;0.1445
minema hästi;16;0.1445
väga väike;16;0.1445
selline suur;16;0.1445
et täna;16;0.1445
noor kaasamine;16;0.1445
ja nii-öelda;16;0.1445
tulema lihtsalt;16;0.1445
siis rääkima;16;0.1445
see sõltuma;16;0.1445
nii hea;16;0.1445
mina oskama;16;0.1445
see kinnisvara;16;0.1445
et ostja;16;0.1445
ka kindlasti;16;0.1445
mis maakler;16;0.1445
kõige tähtsam;15;0.1354
ja lihtsalt;15;0.1354
noor inimene;15;0.1354
olema jääma;15;0.1354
hea mõte;15;0.1354
tema andma;15;0.1354
kaks kord;15;0.1354
ausalt ütlema;15;0.1354
see vaatama;15;0.1354
see vana;15;0.1354
mina aitama;15;0.1354
see maailm;15;0.1354
see põhjus;15;0.1354
see vahe;15;0.1354
ja suur;15;0.1354
oma asi;15;0.1354
inglise keel;15;0.1354
ja teadma;15;0.1354
olema kindel;15;0.1354
tema nägema;15;0.1354
oma keha;15;0.1354
nagu võtma;15;0.1354
ja andma;15;0.1354
see organisatsioon;15;0.1354
mina tooma;15;0.1354
euroopa liit;15;0.1354
olema suurepärane;15;0.1354
ise tundma;15;0.1354
tegelikult tahtma;15;0.1354
see sõna;15;0.1354
see süsteem;15;0.1354
