ngram;count;freq_per_60_min
ei tahaks;17;0.3937
tol ajal;17;0.3937
on jäänud;17;0.3937
nüüd ongi;17;0.3937
sel hetkel;17;0.3937
on halb;17;0.3937
ma kuulan;17;0.3937
seda öelda;17;0.3937
on täitsa;17;0.3937
sama asi;17;0.3937
nii ongi;17;0.3937
eelmisel aastal;17;0.3937
oska öelda;17;0.3937
oli vaja;17;0.3937
nagu natuke;17;0.3937
ka näiteks;17;0.3937
niisugused asjad;17;0.3937
ühe loo;17;0.3937
seda muusikat;17;0.3937
üks lugu;17;0.3937
sa suudad;17;0.3937
ja vaata;17;0.3937
see vana;17;0.3937
välja tuua;17;0.3937
eesti keeles;17;0.3937
olen kuulnud;17;0.3937
mis asja;17;0.3937
ma panin;17;0.3937
see esimene;17;0.3937
see koht;17;0.3937
nagu okei;17;0.3937
väga meeldis;16;0.3706
on näha;16;0.3706
oli tegelikult;16;0.3706
nagu inimesed;16;0.3706
nagu päriselt;16;0.3706
saa öelda;16;0.3706
ei oskagi;16;0.3706
selliseid asju;16;0.3706
on nii-öelda;16;0.3706
väga raske;16;0.3706
et eestis;16;0.3706
see probleem;16;0.3706
ei vaata;16;0.3706
ta ütleb;16;0.3706
see ütleme;16;0.3706
aga vaata;16;0.3706
ei tahtnud;16;0.3706
ka natuke;16;0.3706
läbi aegade;16;0.3706
ma kardan;16;0.3706
nagu öeldakse;16;0.3706
ja loomulikult;16;0.3706
ole vaja;16;0.3706
neid lugusid;16;0.3706
mingi asi;16;0.3706
ei mõtle;16;0.3706
see film;16;0.3706
mitu korda;16;0.3706
ma kuulsin;16;0.3706
ei eksi;16;0.3706
päris suur;16;0.3706
inglise keeles;16;0.3706
see saade;16;0.3706
see vaata;16;0.3706
väga ilus;16;0.3706
minu arvates;16;0.3706
ja asjad;15;0.3474
selle aja;15;0.3474
kui inimene;15;0.3474
nagu üldse;15;0.3474
okei no;15;0.3474
siis eesti;15;0.3474
selle koha;15;0.3474
ole kindel;15;0.3474
oma olemuselt;15;0.3474
väga tore;15;0.3474
üks küsimus;15;0.3474
me näeme;15;0.3474
see muusika;15;0.3474
mingil hetkel;15;0.3474
ei soovi;15;0.3474
ei julge;15;0.3474
issand jumal;15;0.3474
siin ongi;15;0.3474
mingi aeg;15;0.3474
selline tunne;15;0.3474
nagu vaata;15;0.3474
esimene asi;15;0.3474
on ilmselt;14;0.3242
ei osanud;14;0.3242
me jõuame;14;0.3242
