ngram;count;freq_per_60_min
ütleb et kuule;2;0.0463
tea mina näiteks;2;0.0463
terve see aeg;2;0.0463
tea kus kohas;2;0.0463
tean mida öelda;2;0.0463
teema selles mõttes;2;0.0463
inimesed on kodus;2;0.0463
osa minu arust;2;0.0463
no ma ütlesin;2;0.0463
lihtsalt see viis;2;0.0463
kolm aastat hiljem;2;0.0463
filme mis eestis;2;0.0463
tõde ja õigusest;2;0.0463
tegelikult väga paljud;2;0.0463
tundunud nii pikk;2;0.0463
pikk ei tundunud;2;0.0463
tea mitte ühtegi;2;0.0463
esimese öö õigus;2;0.0463
mõtlen et tegelikult;2;0.0463
tund aega sügispallist;2;0.0463
mehed ei nutaks;2;0.0463
nutaks kannab hoolt;2;0.0463
vaatavad ja kuulavad;2;0.0463
noor reporter märt;2;0.0463
reporter märt roosna;2;0.0463
aasta sai käidud;2;0.0463
kolm kuni viis;2;0.0463
nime ei mäleta;2;0.0463
15 20 aastat;2;0.0463
ott tänak maailmameistriks;2;0.0463
täna ühisele mängule;2;0.0463
tegelikult ei olegi;2;0.0463
vana aasta lõpp;2;0.0463
lõpp ja uue;2;0.0463
punkti sai jaan;2;0.0463
jaan oma jahiga;2;0.0463
tänak ja martin;2;0.0463
punkti sai peep;2;0.0463
peep oma eiga;2;0.0463
küsimus kas jüri;2;0.0463
eesti korvpallikoondis jõuab;2;0.0463
küsimus kas kelly;2;0.0463
anett kontaveit jõuab;2;0.0463
kontaveit jõuab suure;2;0.0463
küsimus on tegelikult;2;0.0463
ütlen et jõuab;2;0.0463
kuulame ühe loo;2;0.0463
viis vana kooli;2;0.0463
vana kooli tahvel;2;0.0463
suu vana tooli;2;0.0463
vana kooli kahvel;2;0.0463
okei aga no;2;0.0463
toas õues koguneb;2;0.0463
võtab üle kesklinna;2;0.0463
lugu väga meeldis;2;0.0463
kaks lugu järjest;2;0.0463
vana räpane tõbras;2;0.0463
eesti räpptekstide kogumik;2;0.0463
räpptekstide kogumik osa;2;0.0463
piire kuhu lennata;2;0.0463
kogumik osa kahelt;2;0.0463
käis meil saates;2;0.0463
vana kooli rubriigis;2;0.0463
kenka ja paul;2;0.0463
