ngram;count;freq_per_60_min
ei võta;25;0.7461
on oluline;25;0.7461
palju erinevaid;25;0.7461
ka tegelikult;25;0.7461
sellel aastal;25;0.7461
ei ütle;25;0.7461
ei räägi;24;0.7163
kaks aastat;24;0.7163
ma võtan;24;0.7163
oma elu;24;0.7163
mis tähendab;24;0.7163
on seotud;24;0.7163
on erinevad;24;0.7163
see õige;24;0.7163
sellised asjad;23;0.6864
aga lihtsalt;23;0.6864
kõige olulisem;23;0.6864
ei mäleta;23;0.6864
nad tahavad;23;0.6864
ma mõtlesin;23;0.6864
see lihtsalt;23;0.6864
siis täna;23;0.6864
siis ongi;23;0.6864
sa lihtsalt;23;0.6864
ei saagi;22;0.6566
ja loomulikult;22;0.6566
on natuke;22;0.6566
ma tundsin;22;0.6566
või ütleme;22;0.6566
noh näiteks;22;0.6566
see aasta;22;0.6566
hea meelega;22;0.6566
et eesti;22;0.6566
kui inimesed;22;0.6566
et no;22;0.6566
tänasel päeval;22;0.6566
selline asi;22;0.6566
ole vaja;22;0.6566
noh tegelikult;22;0.6566
arko vara;22;0.6566
aga kindlasti;21;0.6267
esimest korda;21;0.6267
paljud inimesed;21;0.6267
sest tegelikult;21;0.6267
on õige;21;0.6267
et hästi;21;0.6267
mis puudutab;21;0.6267
no ütleme;21;0.6267
siis kindlasti;21;0.6267
kõige parem;21;0.6267
ei pane;21;0.6267
sa tahaksid;21;0.6267
väga head;21;0.6267
selle aja;20;0.5969
tartu noorsootöö;20;0.5969
mis toimub;20;0.5969
kui näiteks;20;0.5969
üle eesti;20;0.5969
väga tihti;20;0.5969
sain aru;20;0.5969
siis näiteks;20;0.5969
sa mainisid;20;0.5969
väga lihtne;20;0.5969
on samamoodi;20;0.5969
nagu nii-öelda;20;0.5969
ja üldse;20;0.5969
ma tahtsin;19;0.5671
sa võtad;19;0.5671
ma kindlasti;19;0.5671
ka hästi;19;0.5671
hästi suur;19;0.5671
mitu korda;19;0.5671
ei mõtle;19;0.5671
see annab;19;0.5671
või tegelikult;19;0.5671
siis ütleme;19;0.5671
ja samamoodi;19;0.5671
ka näiteks;19;0.5671
see koht;19;0.5671
veel kord;19;0.5671
ei tähenda;19;0.5671
ma käisin;19;0.5671
oleme rääkinud;19;0.5671
sa vaatad;19;0.5671
sellel hetkel;19;0.5671
sa paned;19;0.5671
ka nii-öelda;19;0.5671
nii tore;18;0.5372
oma elus;18;0.5372
viis aastat;18;0.5372
et ühesõnaga;18;0.5372
me mõtleme;18;0.5372
ei jää;18;0.5372
ole tegelikult;18;0.5372
väga põnev;18;0.5372
selliseid asju;18;0.5372
